Name,Height,Mountain Group,Link
Šmarjetna glava,2358 m,,https://www.hribi.net/gora/smarjetna_glava/1/1612
Spodnji Stenar,2356 m,,https://www.hribi.net/gora/spodnji_stenar/1/1623
Zadnja Mojstrovka,2354 m,,https://www.hribi.net/gora/zadnja_mojstrovka/1/1326
Vrh Krnega dola / Monte Cregnedul,2351 m,,https://www.hribi.net/gora/vrh_krnega_dola___monte_cregnedul/1/1634
Kol,2350 m,,https://www.hribi.net/gora/kol/1/1328
Mišelj vrh,2350 m,,https://www.hribi.net/gora/miselj_vrh/1/106
Plaski Vogel,2348 m,,https://www.hribi.net/gora/plaski_vogel/1/1058
Bavški Grintavec,2347 m,,https://www.hribi.net/gora/bavski_grintavec/1/679
Briceljk,2346 m,,https://www.hribi.net/gora/briceljk/1/1370
Vevnica,2342 m,,https://www.hribi.net/gora/vevnica/1/1621
Vrh Snežne konte,2342 m,,https://www.hribi.net/gora/vrh_snezne_konte/1/1383
Velika Črnelska špica,2332 m,,https://www.hribi.net/gora/velika_crnelska_spica/1/668
Mala Mojstrovka,2332 m,,https://www.hribi.net/gora/mala_mojstrovka/1/224
Dom Valentina Staniča pod Triglavom,2332 m,,https://www.hribi.net/gora/dom_valentina_stanica_pod_triglavom/1/203
Zadnji Vogel,2327 m,,https://www.hribi.net/gora/zadnji_vogel/1/384
Mali Ozebnik,2324 m,,https://www.hribi.net/gora/mali_ozebnik/1/1379
Žrd / Sart,2324 m,,https://www.hribi.net/gora/zrd___sart/1/1038
Velika Zelnarica,2320 m,,https://www.hribi.net/gora/velika_zelnarica/1/385
Veliki Nabojs / Monte Nabois grande,2313 m,,https://www.hribi.net/gora/veliki_nabojs___monte_nabois_grande/1/1529
Malo Špičje,2312 m,,https://www.hribi.net/gora/malo_spicje/1/453
Mala Zelnarica,2310 m,,https://www.hribi.net/gora/mala_zelnarica/1/456
Škednjovec,2309 m,2300 m,https://www.hribi.net/gora/skednjovec/1/1639
Spodnja Vrbanova špica,2299 m,,https://www.hribi.net/gora/spodnja_vrbanova_spica/1/682
Konjc,2289 m,,https://www.hribi.net/gora/konjc/1/422
Frdamane police,2284 m,,https://www.hribi.net/gora/frdamane_police/1/2003
Tosc,2275 m,,https://www.hribi.net/gora/tosc/1/83
Visoka Ponca,2274 m,,https://www.hribi.net/gora/visoka_ponca/1/90
Šplevta,2272 m,,https://www.hribi.net/gora/splevta/1/1062
Strug,2265 m,,https://www.hribi.net/gora/strug/1/1622
Dom Petra Skalarja na Kaninu,2260 m,,https://www.hribi.net/gora/dom_petra_skalarja_na_kaninu/1/328
Visoka Bela Špica / Cima Alta di Riobianco,2257 m,,https://www.hribi.net/gora/visoka_bela_spica___cima_alta_di_riobianco/1/2820
Travnik,2252 m,,https://www.hribi.net/gora/travnik/1/1057
Krn,2244 m,,https://www.hribi.net/gora/krn/1/150
Veliki Draški vrh,2243 m,,https://www.hribi.net/gora/veliki_draski_vrh/1/397
Zadnja Ponca,2242 m,,https://www.hribi.net/gora/zadnja_ponca/1/1051
Vrh Grubje,2240 m,,https://www.hribi.net/gora/vrh_grubje/1/1039
Srednja Ponca,2228 m,,https://www.hribi.net/gora/srednja_ponca/1/1050
Čelo,2228 m,,https://www.hribi.net/gora/celo/1/70
Srednji Vogel,2226 m,,https://www.hribi.net/gora/srednji_vogel/1/714
Vernar,2225 m,,https://www.hribi.net/gora/vernar/1/1388
Rombon,2208 m,2200 m,https://www.hribi.net/gora/rombon/1/414
Vodnikov Vršac (Vršac nad Zadnjico),2194 m,,https://www.hribi.net/gora/vodnikov_vrsac_vrsac_nad_zadnjico/1/2072
Kopica,2190 m,,https://www.hribi.net/gora/kopica/1/455
Plešivec (Loška stena),2184 m,,https://www.hribi.net/gora/plesivec_loska_stena/1/1377
Gomiščkovo zavetišče na Krnu,2182 m,,https://www.hribi.net/gora/gomisckovo_zavetisce_na_krnu/1/410
Prvi Vogel,2181 m,,https://www.hribi.net/gora/prvi_vogel/1/713
Bivak v Veliki Dnini,2180 m,,https://www.hribi.net/gora/bivak_v_veliki_dnini/1/3602
Vrh nad Peski,2176 m,,https://www.hribi.net/gora/vrh_nad_peski/1/418
Batognica,2164 m,,https://www.hribi.net/gora/batognica/1/374
Zgornje Kriško jezero,2158 m,,https://www.hribi.net/gora/zgornje_krisko_jezero/1/258
Koča na Doliču,2151 m,,https://www.hribi.net/gora/koca_na_dolicu/1/100
Bivak Tarvisio,2150 m,,https://www.hribi.net/gora/bivak_tarvisio/1/2895
Velika Baba (Kanin),2148 m,,https://www.hribi.net/gora/velika_baba_kanin/1/2725
Bela peč/Monte Bila pec,2146 m,,https://www.hribi.net/gora/bela_pec_monte_bila_pec/1/1374
Krnčica,2142 m,,https://www.hribi.net/gora/krncica/1/1625
Teme,2136 m,,https://www.hribi.net/gora/teme/1/995
Srednji vrh (pri Krnu),2134 m,,https://www.hribi.net/gora/srednji_vrh_pri_krnu/1/4042
Kotovo sedlo,2134 m,,https://www.hribi.net/gora/kotovo_sedlo/1/285
Mali Draški vrh,2132 m,,https://www.hribi.net/gora/mali_draski_vrh/1/256
Glava za Bajto,2131 m,,https://www.hribi.net/gora/glava_za_bajto/1/3692
Jerebica,2126 m,,https://www.hribi.net/gora/jerebica/1/420
Veliki Babanski Skedenj,2121 m,,https://www.hribi.net/gora/veliki_babanski_skedenj/1/2571
Šmihelovec,2118 m,,https://www.hribi.net/gora/smihelovec/1/3493
Bivak na Jezerih,2118 m,,https://www.hribi.net/gora/bivak_na_jezerih/1/211
Trentski Pelc,2116 m,,https://www.hribi.net/gora/trentski_pelc/1/3485
Vršac (nad Zadnjo Trento),2113 m,,https://www.hribi.net/gora/vrsac_nad_zadnjo_trento/1/3589
Suhi vrh,2109 m,,https://www.hribi.net/gora/suhi_vrh/1/996
Goličica,2101 m,2100 m,https://www.hribi.net/gora/golicica/1/2708
Cesar,2098 m,,https://www.hribi.net/gora/cesar/1/610
Velika Tičarica,2091 m,,https://www.hribi.net/gora/velika_ticarica/1/454
